[13:18:16] *** Tentative de connexion à tardis.swiftirc.net:6697 (SSL=True)...
[13:18:16] *** [DEBUG] all_raw_messages | Source:  | Target: None | Args: [':tardis.en.uk.SwiftIRC.net NOTICE * :*** Looking up your hostname...']
[13:18:16] *** [DEBUG] privnotice | Source: tardis.en.uk.SwiftIRC.net | Target: * | Args: ['*** Looking up your hostname...']
[13:18:16] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net NOTICE * :*** Checking ident...']
[13:18:16] *** [DEBUG] privnotice | Source: tardis.en.uk.SwiftIRC.net | Target: * | Args: ['*** Checking ident...']
[13:18:16] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net NOTICE * :*** Found your hostname (cached)']
[13:18:16] *** [DEBUG] privnotice | Source: tardis.en.uk.SwiftIRC.net | Target: * | Args: ['*** Found your hostname (cached)']
[13:18:16] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net NOTICE * :*** No ident response; username prefixed with ~']
[13:18:16] *** [DEBUG] privnotice | Source: tardis.en.uk.SwiftIRC.net | Target: * | Args: ['*** No ident response; username prefixed with ~']
[13:18:18] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: ['PING :CEA56072']
[13:18:18] *** [DEBUG] ping | Source: None | Target: CEA56072 | Args: ['CEA56072']
[13:18:18] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 001 LoggerBot :Welcome to the SwiftIRC IRC Network LoggerBot!~LoggerBot@aclermont-ferrand-653-1-200-208.w90-14.abo.wanadoo.fr']
[13:18:18] *** [DEBUG] welcome | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['Welcome to the SwiftIRC IRC Network LoggerBot!~LoggerBot@aclermont-ferrand-653-1-200-208.w90-14.abo.wanadoo.fr']
[13:18:18] *** Connecté au serveur tardis.swiftirc.net:6697
[13:18:18] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 002 LoggerBot :Your host is tardis.en.uk.SwiftIRC.net, running version UnrealIRCd-6.1.1.1']
[13:18:18] *** [DEBUG] yourhost | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['Your host is tardis.en.uk.SwiftIRC.net, running version UnrealIRCd-6.1.1.1']
[13:18:18] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 003 LoggerBot :This server was created Wed Sep 13 2023 at 22:59:31 UTC']
[13:18:18] *** [DEBUG] created | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['This server was created Wed Sep 13 2023 at 22:59:31 UTC']
[13:18:18] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 004 LoggerBot tardis.en.uk.SwiftIRC.net UnrealIRCd-6.1.1.1 diopqrstwxzBDGHIRSTWZ beIacdfhiklmnopqrstvzCDFGHKLMNOPQRSTVZ']
[13:18:18] *** [DEBUG] myinfo | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['tardis.en.uk.SwiftIRC.net', 'UnrealIRCd-6.1.1.1', 'diopqrstwxzBDGHIRSTWZ', 'beIacdfhiklmnopqrstvzCDFGHKLMNOPQRSTVZ']
[13:18:18] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 005 LoggerBot ACCOUNTEXTBAN=account,a AWAYLEN=307 BOT=B CASEMAPPING=ascii CHANLIMIT=#:50 CHANMODES=beI,fkL,lFH,cdimnprstzCDGKMNOPQRSTVZ CHANNELLEN=32 CHANTYPES=# CHATHISTORY=50 CLIENTTAGDENY=*,-draft/typing,-typing,-draft/channel-context,-draft/reply DEAF=d ELIST=MNUCT :are supported by this server']
[13:18:18] *** [DEBUG] featurelist | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['ACCOUNTEXTBAN=account,a', 'AWAYLEN=307', 'BOT=B', 'CASEMAPPING=ascii', 'CHANLIMIT=#:50', 'CHANMODES=beI,fkL,lFH,cdimnprstzCDGKMNOPQRSTVZ', 'CHANNELLEN=32', 'CHANTYPES=#', 'CHATHISTORY=50', 'CLIENTTAGDENY=*,-draft/typing,-typing,-draft/channel-context,-draft/reply', 'DEAF=d', 'ELIST=MNUCT', 'are supported by this server']
